"title","arxiv_link","aggregate_score","upvotes","likes","github_stars","github_link","published_at","authors"
"Latent Thought Flow: Efficient Latent Reasoning in Large Language Models","https://arxiv.org/abs/2606.16222",97,0,97,0,"","2026-06-15","Xiandong Zou; Jing Huang; Jianshu Li; Pan Zhou"
"Code2LoRA: Hypernetwork-Generated Adapters for Code Language Models under Software Evolution","https://arxiv.org/abs/2606.06492",95,95,0,0,"","2026-06-05","Liliana Hotsko; Yinxi Li; Yuntian Deng; Pengyu Nie"
"Redesign Mixture-of-Experts Routers with Manifold Power Iteration","https://arxiv.org/abs/2606.12397",93,89,0,4,"https://github.com/ericshwu/Router-with-Manifold-Power-Iteration","2026-06-11","Songhao Wu; Ang Lv; Ruobing Xie; Yankai Lin"
"Agents-K1: Towards Agent-native Knowledge Orchestration","https://arxiv.org/abs/2606.13669",93,0,57,36,"https://github.com/InternScience/GraphAnything","2026-06-11","Zongsheng Cao; Bihao Zhan; Jinxin Shi; Jiong Wang; Fangchen Yu; Zhijie Zhong; Zijie Guo; Tianshuo Peng; Zhuo Liu; Yi Xie; Xiang Zhuang; Yue Fan; Runmin Ma; Shiyang Feng; Xiangchao Yan; et al. (25 authors)"
"MaxProof: Scaling Mathematical Proof with Generative-Verifier RL and Population-Level Test-Time Scaling","https://arxiv.org/abs/2606.13473",92,92,0,0,"","2026-06-12","Jiacheng Chen; Xinyu Zhang; Shunkai Zhang; Yanmohan Wang; Lin Li; Tiancheng Qin; Qin Wang; Zhengmao Zhu; Tianle Li; Jingyang Li; Zehan Li; Binyang Jiang; Jin Zhu; Han Ding; Fei Yu; et al. (23 authors)"
"Breaking Entropy Bounds: Accelerating RL Training via MTP with Rejection Sampling","https://arxiv.org/abs/2606.12370",91,0,91,0,"","2026-06-10","Yucheng Li; Huiqiang Jiang; Yang Xu; Jianxin Yang; Yi Zhang; Yizhong Cao; Yuhao Shen; Fan Zhou; Rui Men; Jianwei Zhang; An Yang; Bowen Yu; Bo Zheng; Fei Huang; Junyang Lin; et al. (17 authors)"
"How Transparent is DiffusionGemma?","https://arxiv.org/abs/2606.20560",89,0,89,0,"","2026-06-18","Joshua Engels; Callum McDougall; Bilal Chughtai; Janos Kramar; Senthoran Rajamanoharan; Cindy Wu; Arthur Conmy; Asic Q Chen; Jean Tarbouriech; Min Ma; Brendan O'Donoghue; João Gabriel Lopes de Oliveira; Rohin Shah; Neel Nanda"
"Qwen-RobotNav Technical Report: A Scalable Navigation Model Designed for an Agentic Navigation System","https://arxiv.org/abs/2606.18112",88,0,88,0,"","2026-06-18","Jiazhao Zhang; Gengze Zhou; Hale Yin; Yiyang Huang; Zixing Lei; Qihang Peng; Haoqi Yuan; Jie Zhang; Xudong Guo; Xiaoyue Chen; An Yang; Fei Huang; Zhibo Yang; Junyang Lin; Dayiheng Liu; et al. (34 authors)"
"OneReason Technical Report","https://arxiv.org/abs/2606.06260",88,0,88,0,"","2026-06-04","OneRec Team; Biao Yang; Boyang Ding; Chenglong Chu; Dunju Zang; Fei Pan; Han Li; Hao Jiang; Honghui Bao; Huanjie Wang; Jian Liang; Jiangxia Cao; Jiao Ou; Jiaxin Deng; Jinghao Zhang; et al. (84 authors)"
"Ling and Ring 2.6 Technical Report: Efficient and Instant Agentic Intelligence at Trillion-Parameter Scale","https://arxiv.org/abs/2606.15079",87,87,0,0,"","2026-06-16","Ang Li; Ben Liu; Bin Han; Bin Hu; Bin Jing; Binbin Hu; Bing Li; Cai Chen; Caizhi Tang; Changxin Tian; Chao Huang; Chao Zhang; Chen Liang; Chen Qian; Chengfu Tang; et al. (218 authors)"
"Multi-LCB: Extending LiveCodeBench to Multiple Programming Languages","https://arxiv.org/abs/2606.20517",87,60,0,27,"https://github.com/Multi-LCB/Multi-LCB","2026-06-19","Maria Ivanova; Pavel Zadorozhny; Rodion Levichev; Ivan Petrov; Adamenko Pavel; Ivan Lopatin; Alexey Kutalev; Dmitrii Babaev"
"Masking Stale Observations Helps Search Agents -- Until It Doesn't: A Regime Map and Its Mechanism","https://arxiv.org/abs/2606.00408",85,65,0,20,"https://github.com/i-DeepSearch/observation-masking","2026-06-02","Haoxiang Zhang; Qixin Xu; Zhuofeng Li; Lei Zhang; Pengcheng Jiang; Yu Zhang; Julian McAuley"
"Benchmarking Visual State Tracking in Multimodal Video Understanding","https://arxiv.org/abs/2606.03920",85,52,0,33,"https://github.com/vision-x-nyu/vstat","2026-06-03","Sihyun Yu; Nanye Ma; Pinzhi Huang; Hyunseok Lee; Shusheng Yang; June Suk Choi; Ellis Brown; Oscar Michel; Boyang Zheng; Jinwoo Shin; Saining Xie"
"Qwen-Image-Flash: Beyond Objective Design","https://arxiv.org/abs/2606.03746",85,0,85,0,"","2026-06-03","Tianhe Wu; Kun Yan; Zikai Zhou; Lihan Jiang; Jiahao Li; Jie Zhang; Kaiyuan Gao; Ningyuan Tang; Shengming Yin; Xiaoyue Chen; Xiao Xu; Yilei Chen; Yuxiang Chen; Yan Shu; Yixian Xu; et al. (24 authors)"
"VIMPO: Value-Implicit Policy Optimization for LLMs","https://arxiv.org/abs/2606.20008",85,0,75,10,"https://github.com/backprop07/VIMPO","2026-06-18","Zhewei Kang; Aosong Feng; Sergey Levine; Dawn Song; Xuandong Zhao"
"Current World Models Lack a Persistent State Core","https://arxiv.org/abs/2606.20545",83,0,71,12,"https://github.com/JinPLu/WRBench","2026-06-18","Jinpeng Lu; Dexu Zhu; Haoyuan Shi; Linghan Cai; Guo Tang; Yinda Chen; Jie Cao; Duyu Tang; Yi Zhang; Yong Dai; Xiaozhu Ju"
"OPD-Evolver: Cultivating Holistic Agent Evolver via On-Policy Distillation","https://arxiv.org/abs/2606.17628",83,0,52,31,"https://github.com/bingreeky/opd-evolver","2026-06-16","Guibin Zhang; Xun Xu; Yanwei Yue; Zikun Su; Wangchunshu Zhou; Xiaobin Hu; Shuicheng Yan"
"DragMesh-2: Physically Plausible Dexterous Hand-Object Interaction with Articulated Objects","https://arxiv.org/abs/2606.15133",82,74,0,8,"https://github.com/AIGeeksGroup/DragMesh-2","2026-06-19","Tianshan Zhang; Yijia Duan; Yanjun Li; Zeyu Zhang; Hao Tang"
"ACE-Ego-0: Unifying Egocentric Human and Robotic Data for VLA Pretraining","https://arxiv.org/abs/2606.17200",82,53,0,29,"https://github.com/ACERobotics-VLA/ACE-Ego-0","2026-06-17","Hao Li; Ganlong Zhao; Yufei Liu; Haotian Hou; Guoquan Ye; Tongyan Fang; Chunxiao Liu; Siyuan Huang; Jianbo Liu; Xiaogang Wang; Hongsheng Li"
"HarnessX: A Composable, Adaptive, and Evolvable Agent Harness Foundry","https://arxiv.org/abs/2606.14249",82,0,82,0,"","2026-06-12","Tingyang Chen; Shuo Lu; Kang Zhao; Weicheng Meng; Hanlin Teng; Tianhao Li; Chao Li; Xule Liu; Jian Liang; Zhizhong Zhang; Yuan Xie; Heng Qu; Kun Shao; Jian Luan"
"OrderGrad: Optimizing Beyond the Mean with Order-Statistic Policy Gradient Estimation","https://arxiv.org/abs/2606.06096",82,0,69,13,"https://github.com/paavo5/ordergrad","2026-06-04","Paavo Parmas; Yongmin Kim; Kohsei Matsutani; Shota Takashiro; Soichiro Nishimori; Takeshi Kojima; Yusuke Iwasawa; Yutaka Matsuo"
"Tapered Language Models","https://arxiv.org/abs/2606.23670",80,0,80,0,"","2026-06-22","Reza Bayat; Ali Behrouz; Aaron Courville"
"Where Do Deep-Research Agents Go Wrong? Span-Level Error Localization in Agent Trajectories","https://arxiv.org/abs/2606.02060",79,57,0,22,"https://github.com/NJU-LINK/DRIFT","2026-06-04","Jiaming Wang; Ziteng Feng; Jiangtao Wu; Ruihao Li; Qianqian Xie; Yuxiang Ren; He Zhu; Xueming Han; Fanyu Meng; Junlan Feng; Jiaheng Liu"
"Pretraining Recurrent Networks without Recurrence","https://arxiv.org/abs/2606.06479",78,0,78,0,"","2026-06-04","Akarsh Kumar; Phillip Isola"
"AtomMem: Building Simple and Effective Memory System for LLM Agents via Atomic Facts","https://arxiv.org/abs/2606.19847",78,0,62,16,"https://github.com/MINE-USTC/AtomMem","2026-06-18","Yanyu Yao; Shangze Li; Zhi Zheng; Hui Zheng; Qi Liu; Tong Xu; Enhong Chen"
"A Matter of TASTE: Improving Coverage and Difficulty of Agent Benchmarks","https://arxiv.org/abs/2605.28556",77,73,0,4,"https://github.com/tomerkeren42/TASTE-task-synthesis-from-tool-sequence-evolution","2026-06-02","Tomer Keren; Nitay Calderon; Asaf Yehudai; Yotam Perlitz; Michal Shmueli-Scheuer; Roi Reichert"
"Grouped Query Experts: Mixture-of-Experts on GQA Self-Attention","https://arxiv.org/abs/2606.20945",75,75,0,0,"","2026-06-23","Vishesh Tripathi; Abhay Kumar"
"Skill-MAS: Evolving Meta-Skill for Automatic Multi-Agent Systems","https://arxiv.org/abs/2606.18837",75,0,51,24,"https://github.com/linhh29/Skill_MAS","2026-06-24","Hehai Lin; Qi Yang; Chengwei Qin"
"OpenThoughts-Agent: Data Recipes for Agentic Models","https://arxiv.org/abs/2606.24855",74,0,74,0,"","2026-06-23","Negin Raoof; Richard Zhuang; Marianna Nezhurina; Etash Guha; Atula Tejaswi; Ryan Marten; Charlie F. Ruan; Tyler Griggs; Alexander Glenn Shaw; Hritik Bansal; E. Kelly Buchanan; Artem Gazizov; Reinhard Heckel; Chinmay Hegde; Sankalp Jajee; et al. (50 authors)"
"T-Rex: Tactile-Reactive Dexterous Manipulation","https://arxiv.org/abs/2606.17055",74,0,74,0,"","2026-06-18","Dantong Niu; Zhuoyang Liu; Zekai Wang; Boning Shao; Zhao-Heng Yin; Anirudh Pai; Yuvan Sharma; Stefano Saravalle; Ruijie Zheng; Jing Wang; Ryan Punamiya; Mengda Xu; Yuqi Xie; Yunfan Jiang; Letian Fu; et al. (34 authors)"
"ConMem: Structured Memory-Guided Adaptation in Training-Free Multi-Agent Systems","https://arxiv.org/abs/2606.08702",74,0,74,0,"","2026-06-07","Zhixun Tan; Qiang Chen; Tairan Huang; Xiu Su; Yi Chen"
"DanceOPD: On-Policy Generative Field Distillation","https://arxiv.org/abs/2606.27377",73,73,0,0,"","2026-06-26","Wei Zhou; Xiongwei Zhu; Zelin Xu; Bo Dong; Lixue Gong; Yongyuan Liang; Meng Chu; Leigang Qu; Lingdong Kong; Wei Liu; Tat-Seng Chua"
"K-BrowseComp: A Web Browsing Agent Benchmark Grounded in Korean Contexts","https://arxiv.org/abs/2606.02404",72,59,0,13,"https://github.com/prometheus-eval/K-BrowseComp","2026-06-02","Nahyun Lee; Dongkeun Yoon; Guijin Son; Geewook Kim; Dayoon Ko; Jeonghun Park; Haneul Yoo; Jaewon Cho; Junghun Park; Changyoon Lee; Kyochul Jang; Jaeyeon Kim; Eunsu Kim; Woojin Cho; Seungone Kim"
"Agentic Environment Engineering for Large Language Models: A Survey of Environment Modeling, Synthesis, Evaluation, and Application","https://arxiv.org/abs/2606.12191",70,70,0,0,"","2026-06-11","Jiachun Li; Zhuoran Jin; Tianyi Men; Yupu Hao; Kejian Zhu; Lingshuai Wang; Dongqi Huang; Longxiang Wang; Shengjia Hua; Lu Wang; Jinshan Gao; Hongbang Yuan; Ruilin Xu; Kang Liu; Jun Zhao"
"Dense Supervision, Sparse Updates: On the Sparsity and Geometry of On-Policy Distillation","https://arxiv.org/abs/2606.13657",70,0,67,3,"https://github.com/SydCS/OPD-Param-Analysis","2026-06-12","Guo Yu; Wenlin Liu; Yulan Hu; Hao-Xuan Ma; Jun-Peng Jiang; Han-Jia Ye"
"Measuring Epistemic Resilience of LLMs Under Misleading Medical Context","https://arxiv.org/abs/2606.12291",69,60,0,9,"https://github.com/AI-in-Health/MedMisBench","2026-06-15","Hongjian Zhou; Xinyu Zou; Jinge Wu; Sean Wu; Junchi Yu; Bradley Max Segal; Tobias Erich Niebuhr; Sara Amro; Michael Petrus; Sheikh Momin; Alexandra M. Cardoso Pinto; Rachel Niesen; Laura Sophie Wegner; Dhruv Darji; Jung Moses Koo; et al. (22 authors)"
"Unsafe AI or Consolidated Power: AI’s False Dichotomy","https://www.alphaxiv.org/abs/2026.unsafe-ai-or-consolidated-power-ais-false-dichotomy",69,0,69,0,"","2026-06-15","Parth Asawa; Joseph E. Gonzalez"
"End-to-End Context Compression at Scale","https://arxiv.org/abs/2606.09659",69,0,69,0,"","2026-06-08","Ang Li; Sean McLeish; Haozhe Chen; Nimit Kalra; Zaiqian Chen; Artem Gazizov; Venkata Anoop Suhas Kumar Morisetty; Bhavya Kailkhura; Harshitha Menon; Zhuang Liu; Brian R. Bartoldson; Tom Goldstein; Sanae Lotfi; Micah Goldblum; Pavel Izmailov"
"Trust-Region Behavior Blending for On-Policy Distillation","https://arxiv.org/abs/2605.31159",68,68,0,0,"","2026-06-01","Daniil Plyusov; Alexey Gorbatovski; Alexey Malakhov; Nikita Balagansky; Boris Shaposhnikov; Daria Korotyshova; Daniil Gavrilov"
"CoVEBench: Can Video Editing Models Handle Complex Instructions?","https://arxiv.org/abs/2606.08415",68,51,0,17,"https://github.com/NJU-LINK/CoVEBench","2026-06-09","Jiangtao Wu; Jiaming Wang; Yiwen He; Yuanxing Zhang; Shihao Li; Dunyuan Liu; Xuedong Zhao; Jialu Chen; Zekun Moore Wang; Jiaheng Liu"
"Why Muon Outperforms Adam: A Curvature Perspective","https://arxiv.org/abs/2606.04662",68,0,68,0,"","2026-06-03","Shuche Wang; Fengzhuo Zhang; Jiaxiang Li; Dirk Bergemann; Zhuoran Yang"
"Do Transformers Need Three Projections? Systematic Study of QKV Variants","https://arxiv.org/abs/2606.04032",67,0,67,0,"https://github.com/alikayyam/Do-Transformers-Need-3-Projections","2026-06-04","Ali Kayyam; Anusha Madan Gopal; M Anthony Lewis"
"Wall Attention: Length Generalization With Diagonal Gates","https://www.alphaxiv.org/abs/2026.wall-attention",67,0,67,0,"","2026-06-02",""
"LatentSkill: From In-Context Textual Skills to In-Weight Latent Skills for LLM Agents","https://arxiv.org/abs/2606.06087",66,66,0,0,"","2026-06-09","Aofan Yu; Chenyu Zhou; Tianyi Xu; Zihan Guo; Rong Shan; Zhihui Fu; Jun Wang; Weiwen Liu; Yong Yu; Weinan Zhang; Jianghao Lin"
"Scaling Laws, Carefully","https://arxiv.org/abs/2026.2026-06-24-scaling-laws",66,0,66,0,"","2026-06-24","Lilian Weng"
"Next Forcing: Causal World Modeling with Multi-Chunk Prediction","https://arxiv.org/abs/2606.11187",66,0,66,0,"","2026-06-09","Gangwei Xu; Qihang Zhang; Jiaming Zhou; Xing Zhu; Yujun Shen; Xin Yang; Yinghao Xu"
"HumanScale: Egocentric Human Video Can Outperform Real-Robot Data for Embodied Pretraining","https://arxiv.org/abs/2606.20521",65,0,65,0,"","2026-06-18","Juncheng Ma; Jianxin Bi; Yufan Deng; Xuanran Zhai; Kewei Zhang; Ye Huang; Bo Liang; Shukai Gong; Jiankai Tu; Xiaotian Tang; Jiaxin Li; Kaiqi Chen; Duomin Wang; Yuqi Wang; Bingyi Kang; et al. (22 authors)"
"On Advantage Estimates for Max@K Policy Gradients","https://arxiv.org/abs/2606.06080",64,0,64,0,"","2026-06-04","Shota Takashiro; Soichiro Nishimori; Paavo Parmas; Yongmin Kim; Kohsei Matsutani; Gouki Minegishi; Yusuke Iwasawa; Takeshi Kojima; Yutaka Matsuo"
"Reinforcement Learning from Rich Feedback with Distributional DAgger","https://arxiv.org/abs/2606.05152",64,0,51,13,"https://github.com/rishabh-1086/distIL","2026-06-05","Rishabh Agrawal; Jacob Fein-Ashley; Paria Rashidinejad"
"Beyond Scalar Rewards by Internalizing Reasoning into Score Distributions","https://arxiv.org/abs/2606.09076",63,63,0,0,"","2026-06-11","Xin Jin; Huanqia Cai; Zhen Li; Zechao Zhan; Dengyang Jiang; Aiming Hao; Yuming Jiang; Chunle Guo; Peng Gao; Ming-Ming Cheng; Steven C. H. Hoi"
"Representation Forcing for Bottleneck-Free Unified Multimodal Models","https://arxiv.org/abs/2605.31604",63,63,0,0,"","2026-06-01","Yuqing Wang; Zhijie Lin; Ceyuan Yang; Yang Zhao; Fei Xiao; Hao He; Qi Zhao; Zihan Ding; Fuyun Wang; Shuai Wang; Youliang Zhang; Haoqi Fan; Xihui Liu"
"TRL-Bench: Standardizing Cross-Paradigm Representation-Level Evaluation of Tabular Encoders","https://arxiv.org/abs/2606.09323",63,53,0,10,"https://github.com/LOGO-CUHKSZ/TRL-Bench","2026-06-11","Wei Pang; Xiangru Jian; Hehan Li; Zhixuan Yu; Alex Xue; Jinyang Li; Zhengyuan Dong; Xinjian Zhao; Hao Xu; Chao Zhang; Reynold Cheng; M. Tamer Özsu; Tianshu Yu"
"SwanVoice: Expressive Long-Form Zero-Shot Speech Synthesis for Both Monologue and Dialogue","https://arxiv.org/abs/2605.30993",62,62,0,0,"","2026-06-01","Ruiqi Li; Yu Zhang; Changhao Pan; Ke Lei; Xiang Yin; Cheng Yang"
