"title","arxiv_link","aggregate_score","upvotes","likes","github_stars","github_link","published_at","authors"
"COLLEAGUE.SKILL: Automated AI Skill Generation via Expert Knowledge Distillation","https://arxiv.org/abs/2605.31264",20000,120,0,19880,"https://github.com/titanwings/colleague-skill","2026-06-01","Tianyi Zhou; Dongrui Liu; Leitao Yuan; Jing Shao; Xia Hu"
"Unlimited OCR Works","https://arxiv.org/abs/2606.23050",11677,0,111,11566,"https://github.com/baidu/Unlimited-OCR","2026-06-22","Youyang Yin; Huanhuan Liu; Qunyi Xie; Chaorun Liu; Shiqi Yang; Shaohua Wang; Zhanlong Liu; Hao Zou; Jinyue Chen; Shu Wei; Jingjing Wu; Mingxin Huang; Zhen Wu; Guibin Wang; Tengyu Du; et al. (16 authors)"
"Cosmos 3: Omnimodal World Models for Physical AI","https://arxiv.org/abs/2606.02800",11110,136,296,10678,"https://github.com/NVIDIA/cosmos","2026-06-04","Aditi; Niket Agarwal; Arslan Ali; Jon Allen; Martin Antolini; Adeline Aubame; Alisson Azzolini; Junjie Bai; Maciej Bala; Yogesh Balaji; Josh Bapst; Aarti Basant; Mukesh Beladiya; Mohammad Qazim Bhat; Zaid Pervaiz Bhat; et al. (291 authors)"
"Improved Large Language Diffusion Models","https://arxiv.org/abs/2606.25331",3907,0,51,3856,"https://github.com/ML-GSAI/LLaDA","2026-06-24","Shen Nie; Qiyang Min; Shaoxuan Xu; Zihao Huang; Yuxuan Song; Yong Shan; Yankai Lin; Wayne Xin Zhao; Chongxuan Li; Ji-Rong Wen"
"VibeThinker-3B: Exploring the Frontier of Verifiable Reasoning in Small Language Models","https://arxiv.org/abs/2606.16140",1700,119,168,1413,"https://github.com/WeiboAI/VibeThinker","2026-06-16","Sen Xu; Shixi Liu; Wei Wang; Jixin Min; Yingwei Dai; Zhibin Yin; Yirong Chen; Xin Zhou; Junlin Zhang"
"Agents' Last Exam","https://arxiv.org/abs/2606.05405",1381,368,254,759,"https://github.com/rdi-berkeley/agents-last-exam","2026-06-09","Yiyou Sun; Xinyang Han; Weichen Zhang; Yuanbo Pang; Tianyu Wang; Yuhan Cao; Yixiao Huang; Chris Duroiu; Haoyun Zhang; Jeffrey Lin; Weishu Zhang; Tyler Zeng; Ying Yan; Bo Liu; Hanson Wen; et al. (308 authors)"
"WALL-WM: Carving World Action Modeling at the Event Joints","https://arxiv.org/abs/2606.01955",1221,0,103,1118,"https://github.com/X-Square-Robot/wall-x","2026-06-01","Shalfun Li; Victor Yao; Charles Yang; Truth Qu; Regis Cheng; Ryan Yu; Howard Lu; Newton Von; Vincent Chen; Yohann Tang; Maeve Zhang; Ellie Ma; Gody Li; Sage Yang; Lorien Shu; et al. (31 authors)"
"FastContext: Training Efficient Repository Explorer for Coding Agents","https://arxiv.org/abs/2606.14066",1088,93,0,995,"https://github.com/microsoft/fastcontext","2026-06-16","Shaoqiu Zhang; Maoquan Wang; Yuling Shi; Yuhang Wang; Xiaodong Gu; Yongqiang Yao; Rao Fu; Shengyu Fu"
"Kwai Keye-VL-2.0 Technical Report","https://arxiv.org/abs/2606.10651",1062,192,72,798,"https://github.com/Kwai-Keye/Keye","2026-06-10","Kwai Keye Team; Bin Wen; Changyi Liu; Chengru Song; Chongling Rao; Guowang Zhang; Han Li; Haonan Fan; Hengrui Ju; Jiankang Chen; Jiapeng Chen; Jiawei Yuan; Kaixuan Yang; Kaiyu Jiang; Kun Gai; et al. (53 authors)"
"Toward Generalist Autonomous Research via Hypothesis-Tree Refinement","https://arxiv.org/abs/2606.11926",1002,121,83,798,"https://github.com/RUC-NLPIR/Arbor","2026-06-11","Jiajie Jin; Yuyang Hu; Kai Qiu; Qi Dai; Chong Luo; Guanting Dong; Xiaoxi Li; Tong Zhao; Xiaolong Ma; Gongrui Zhang; Zhirong Wu; Bei Liu; Zhengyuan Yang; Linjie Li; Lijuan Wang; et al. (18 authors)"
"JoyAI-VL-Interaction: Real-Time Vision-Language Interaction Intelligence","https://arxiv.org/abs/2606.14777",993,205,0,788,"https://github.com/jd-opensource/JoyAI-VL-Interaction","2026-06-16","Dingyu Yao; Junhao Zhou; Chenxu Yang; Chuanyu Qin; Haowen Hou; Zheming Liang; Congcong Wang; Yuhang Cao; Shenglong Ye; Shuai Xie; Shuhuan Gu; Haoyang Huang; Qingyi Si; Nan Duan; Jiaqi Wang"
"OpenRath: Session-Centered Runtime State for Agent Systems","https://arxiv.org/abs/2606.19409",964,76,0,888,"https://github.com/Rath-Team/OpenRath","2026-06-23","Fukang Wen; Zhijie Wang; Ruilin Xu"
"Harness-1: Reinforcement Learning for Search Agents with State-Externalizing Harnesses","https://arxiv.org/abs/2606.02373",955,59,88,808,"https://github.com/pat-jj/harness-1","2026-06-02","Pengcheng Jiang; Zhiyi Shi; Kelly Hong; Xueqiang Xu; Jiashuo Sun; Jimeng Sun; Hammad Bashir; Jiawei Han"
"Qwen-AgentWorld: Language World Models for General Agents","https://arxiv.org/abs/2606.24597",936,139,169,628,"https://github.com/QwenLM/Qwen-AgentWorld","2026-06-24","Yuxin Zuo; Zikai Xiao; Li Sheng; Fei Huang; Jianhong Tu; Yuxuan Liu; Tianyi Tang; Xiaomeng Hu; Yang Su; Qingfeng Lan; Yantao Liu; Qin Zhu; Yinger Zhang; Bowen Yu; Haiquan Zhao; et al. (33 authors)"
"SCAIL-2: Unifying Controlled Character Animation with End-to-end In-Context Conditioning","https://arxiv.org/abs/2606.10804",890,51,0,839,"https://github.com/zai-org/SCAIL-2","2026-06-10","Wenhao Yan; Fengjia Guo; Zhuoyi Yang; Jie Tang"
"DreamX-World 1.0: A General-Purpose Interactive World Model","https://arxiv.org/abs/2606.16993",813,112,102,599,"https://github.com/AMAP-ML/DreamX-World","2026-06-16","DreamX Team; Yancheng Bai; Rui Chen; Xiangxiang Chu; Rujing Dang; Hao Dou; Bingjie Gao; Qiwen Gu; Siyu Hong; Jiachen Lei; Geng Li; Jifan Li; Ruimin Lin; Qingfeng Shi; Bingze Song; et al. (23 authors)"
"Looped World Models","https://arxiv.org/abs/2606.18208",741,468,273,0,"","2026-06-17","Hongyuan Adam Lu; Z. L. Victor Wei; Qun Zhang; Jinrui Zeng; Bowen Cao; Lingwei Meng; Mocheng Li; Zezhong Wang; Haonan Yin; Naifu Xue; Minyu Chen; Cenyuan Zhang; Zefan Zhang; Hao Wei; Jiawei Zhou; et al. (31 authors)"
"MiniMax Sparse Attention","https://arxiv.org/abs/2606.13392",705,148,193,364,"https://github.com/MiniMax-AI/MSA","2026-06-12","Xunhao Lai; Weiqi Xu; Yufeng Yang; Qiaorui Chen; Yang Xu; Lunbin Zeng; Xiaolong Li; Haohai Sun; Haichao Zhu; Vito Zhang; Jinkai Hu; Jiayao Li; Rui Gao; Zekun Li; Songquan Zhu; et al. (17 authors)"
"Audio Interaction Model","https://arxiv.org/abs/2606.05121",675,121,0,554,"https://github.com/xzf-thu/Audio-Interaction","2026-06-04","Zhifei Xie; Zihang Liu; Ze An; Xiaobin Hu; Yue Liao; Ziyang Ma; Dongchao Yang; Mingbao Lin; Deheng Ye; Shuicheng Yan; Chunyan Miao"
"ABot-Earth 0.5: Generative 3D Earth Model","https://arxiv.org/abs/2606.09967",658,484,0,174,"https://github.com/amap-cvlab/ABot-Earth-0.5","2026-06-10","Ming Qian; Tianjian Ouyang; Mingchao Sun; Zijian Wang; Jincheng Xiong; Jiarong Han; Yongchang Zhang; Jiawei Zhang; Xu Wang; Yu Liu; Luyang Tang; Fei Yu; Zengye Ge; Mengmeng Du; Yuan Liu; et al. (28 authors)"
"Moebius: 0.2B Lightweight Image Inpainting Framework with 10B-Level Performance","https://arxiv.org/abs/2606.19195",553,137,0,416,"https://github.com/hustvl/Moebius","2026-06-19","Kangsheng Duan; Ziyang Xu; Wenyu Liu; Xiaohu Ruan; Xiaoxin Chen; Xinggang Wang"
"Latent Spatial Memory for Video World Models","https://arxiv.org/abs/2606.09828",499,71,189,239,"https://github.com/microsoft/LatentSpatialMemory","2026-06-09","Weijie Wang; Haoyu Zhao; Yifan Yang; Feng Chen; Zeyu Zhang; Yefei He; Zicheng Duan; Donny Y. Chen; Yuqing Yang; Bohan Zhuang"
"KVarN: Variance-Normalized KV-Cache Quantization Mitigates Error Accumulation in Reasoning Tasks","https://arxiv.org/abs/2606.03458",488,67,0,421,"https://github.com/huawei-csl/KVarN","2026-06-03","Lorenz K. Muller; Philippe Bich; Chiara Boretti; Hyun-Min Chang; Jiawei Zhuang; Lukas Cavigelli"
"MemSlides: A Hierarchical Memory Driven Agent Framework for Personalized Slide Generation with Multi-turn Local Revision","https://arxiv.org/abs/2606.17162",466,161,0,305,"https://github.com/huohua325/Memslides","2026-06-22","Ye Jin; Yangyang Xu; Jun Zhu; Yibo Yang"
"SpatialClaw: Rethinking Action Interface for Agentic Spatial Reasoning","https://arxiv.org/abs/2606.13673",457,109,53,295,"https://github.com/NVlabs/SpatialClaw","2026-06-12","Seokju Cho; Ryo Hachiuma; Abhishek Badki; Hang Su; Byung-Kwan Lee; Chan Hee Song; Sifei Liu; Subhashree Radhakrishnan; Seungryong Kim; Yu-Chiang Frank Wang; Min-Hung Chen"
"MLEvolve: A Self-Evolving Framework for Automated Machine Learning Algorithm Discovery","https://arxiv.org/abs/2606.06473",427,0,62,365,"https://github.com/InternScience/MLEvolve","2026-06-04","Shangheng Du; Xiangchao Yan; Jinxin Shi; Zongsheng Cao; Shiyang Feng; Zichen Liang; Boyuan Sun; Tianshuo Peng; Yifan Zhou; Xin Li; Jie Zhou; Liang He; Bo Zhang; Lei Bai"
"World Action Models: A Survey","https://arxiv.org/abs/2606.20781",409,54,62,293,"https://github.com/world-action-models/awesome-world-action-models","2026-06-23","Qiuhong Shen; Shihua Zhang; Yue Liao; Qi Li; Zhenxiong Tan; Shizun Wang; Shuicheng Yan; Xinchao Wang"
"Humanoid-GPT: Scaling Data and Structure for Zero-Shot Motion Tracking","https://arxiv.org/abs/2606.03985",406,0,64,342,"https://github.com/GalaxyGeneralRobotics/Humanoid-GPT/","2026-06-02","Zekun Qi; Xuchuan Chen; Dairu Liu; Chenghuai Lin; Yunrui Lian; Sikai Liang; Zhikai Zhang; Yu Guan; Jilong Wang; Wenyao Zhang; Xinqiang Yu; He Wang; Li Yi"
"Claude Fable 5 and Claude Mythos 5","https://www.alphaxiv.org/abs/2026.claude-fable-5-mythos-5",396,0,396,0,"","2026-06-09",""
"Crafter: A Multi-Agent Harness for Editable Scientific Figure Generation from Diverse Inputs","https://arxiv.org/abs/2605.30611",382,250,0,132,"https://github.com/HaozheZhao/Crafter","2026-06-02","Haozhe Zhao; Shuzheng Si; Zhenhailong Wang; Zheng Wang; Liang Chen; Xiaotong Li; Zhixiang Liang; Maosong Sun; Minjia Zhang"
"Tmax: A simple recipe for terminal agents","https://arxiv.org/abs/2606.23321",370,0,214,156,"https://github.com/hamishivi/tmax","2026-06-22","Hamish Ivison; Junjie Oscar Yin; Rulin Shao; Teng Xiao; Nathan Lambert; Hannaneh Hajishirzi"
"Robust-U1: Can MLLMs Self-Recover Corrupted Visual Content for Robust Understanding?","https://arxiv.org/abs/2606.08063",364,81,0,283,"https://github.com/jqtangust/Robust-U1","2026-06-12","Jiaqi Tang; Jianmin Chen; Youyang Zhai; Wei Wei; Runtao Liu; Mengjie Zhao; Xiangyu Wu; Qingfa Xiao; Qifeng Chen"
"GLM-5.2: Built for Long-Horizon Tasks","https://www.alphaxiv.org/abs/2026.glm-5-2",354,0,354,0,"","2026-06-16","Z.ai"
"World Tracing: Generative Pixel-Aligned Geometry Beyond the Visible","https://arxiv.org/abs/2606.13652",349,0,63,286,"https://github.com/haoz19/world-tracing","2026-06-11","Hao Zhang; Mohamed El Banani; Jen-Hao Cheng; Paul Zhang; Yi Hua; Ben Mildenhall; Christoph Lassner; Narendra Ahuja; Gengshan Yang"
"Large Language Models Do Not Always Need Readable Language","https://arxiv.org/abs/2606.19857",341,0,53,288,"https://github.com/chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020","2026-06-18","Jiayi Zhu; Haoxuan Peng; Junxi Wang; Liang Ke; Chen Zhang; Linfeng Zhang"
"Geometric Action Model for Robot Policy Learning","https://arxiv.org/abs/2606.17046",311,115,99,97,"https://github.com/cvlab-kaist/Geometric-Action-Model","2026-06-16","Jisang Han; Seonghu Jeon; Jaewoo Jung; René Zurbrügg; Honggyu An; Tifanny Portela; Marco Hutter; Marc Pollefeys; Seungryong Kim; Sunghwan Hong"
"On the Scaling of PEFT: Towards Million Personal Models of Trillion Parameters","https://arxiv.org/abs/2606.02437",310,236,74,0,"","2026-06-02","Mind Lab; Song Cao; Vic Cao; Kaijie Chen; Bunny Fan; Hera Feng; Huan Feng; Arthur Fu; Jun Gao; Hongquan Gu; Aaron Guan; Mutian Hong; Hailee Hou; Peixuan Hua; Charles Huang; et al. (54 authors)"
"InterleaveThinker: Reinforcing Agentic Interleaved Generation","https://arxiv.org/abs/2606.13679",292,82,0,210,"https://github.com/zhengdian1/InterleaveThinker","2026-06-12","Dian Zheng; Harry Lee; Manyuan Zhang; Kaituo Feng; Zoey Guo; Ray Zhang; Hongsheng Li"
"OPRD: On-Policy Representation Distillation","https://arxiv.org/abs/2606.06021",284,0,257,27,"https://github.com/ShenzhiYang2000/OPRD","2026-06-20","Shenzhi Yang; Guangcheng Zhu; Bowen Song; Haobo Wang; Mingxuan Xia; Xing Zheng; Yingfan Ma; Zhongqi Chen; Weiqiang Wang; Junbo Zhao; Gang Chen"
"FlashMemory-DeepSeek-V4: Lightning Index Ultra-Long Context via Lookahead Sparse Attention","https://arxiv.org/abs/2606.09079",281,64,132,85,"https://github.com/libertywing/FlashMemory-Deepseek-V4","2026-06-09","Yan Wang; Qifan Zhang; Jiachen Yu; Tian Liang; Dongyang Ma; Xiang Hu; Zibo Lin; Chunyang Li; Zhichao Wang; Miao Peng; Nuo Chen; Jia Li; Yujiu Yang; Haitao Mi; Dong Yu"
"You Don't Need Strong Assumptions: Visual Representation Learning via Temporal Differences","https://arxiv.org/abs/2606.15956",281,0,185,96,"https://github.com/ninaddaithankar/tdv","2026-06-14","Ninad Daithankar; Alexi Gladstone; Yann LeCun; Heng Ji"
"ResearchClawBench: A Benchmark for End-to-End Autonomous Scientific Research","https://arxiv.org/abs/2606.07591",272,97,0,175,"https://github.com/InternScience/ResearchClawBench","2026-06-08","Wanghan Xu; Shuo Li; Tianlin Ye; Qinglong Cao; Yixin Chen; Hengjian Gao; Yiheng Wang; Qi Li; Kun Li; Sheng Xu; Shengdu Chai; Fangchen Yu; Xiangyu Zhao; Zhangrui Zhao; Weijie Ma; et al. (50 authors)"
"From AGI to ASI","https://arxiv.org/abs/2606.12683",263,0,263,0,"","2026-06-10","Tim Genewein; Matija Franklin; Alexander Lerchner; Laurent Orseau; Samuel Albanie; Adam Bales; Cole Wyeth; Stephanie Chan; Iason Gabriel; Joel Z. Leibo; Allan Dafoe; Marcus Hutter; Thore Graepel; Shane Legg"
"Data Journalist Agent: Transforming Data into Verifiable Multimodal Stories","https://arxiv.org/abs/2606.11176",257,127,0,130,"https://github.com/QinghongLin/data2story-skill","2026-06-16","Kevin Qinghong Lin; Batu EI; Yuhong Shi; Pan Lu; Philip Torr; James Zou"
"Memory is Reconstructed, Not Retrieved: Graph Memory for LLM Agents","https://arxiv.org/abs/2606.06036",253,75,0,178,"https://github.com/Ji-shuo/MRAgent","2026-06-15","Shuo Ji; Yibo Li; Bryan Hooi"
"Domino: Decoupling Causal Modeling from Autoregressive Drafting in Speculative Decoding","https://arxiv.org/abs/2605.29707",239,151,0,88,"https://github.com/jianuo-huang/Domino","2026-06-02","Jianuo Huang; Yaojie Zhang; Qituan Zhang; Hao Lin; Hanlin Xu; Linfeng Zhang"
"MolmoMotion: Forecasting Point Trajectories in 3D with Language Instruction","https://arxiv.org/abs/2606.18558",232,53,82,97,"https://github.com/allenai/molmo-motion","2026-06-18","Jianing Zhang; Chenhao Zheng; Yajun Yang; Max Argus; Rustin Soraki; Winson Han; Taira Anderson; Chun-Liang Li; Shuo Liu; Jiafei Duan; Zhongzheng Ren; Jieyu Zhang; Ranjay Krishna"
"EvoArena: Tracking Memory Evolution for Robust LLM Agents in Dynamic Environments","https://arxiv.org/abs/2606.13681",229,142,68,19,"https://github.com/Aiden0526/EvoArena","2026-06-12","Jundong Xu; Qingchuan Li; Jiaying Wu; Yihuai Lan; Shuyue Stella Li; Huichi Zhou; Bowen Jiang; Lei Wang; Jun Wang; Anh Tuan Luu; Caiming Xiong; Hae Won Park; Bryan Hooi; Zhiyuan Hu"
"Imaginative Perception Tokens Enhance Spatial Reasoning in Multimodal Language Models","https://arxiv.org/abs/2606.03988",224,126,0,98,"https://github.com/weikaih04/Imaginative-Perception-Token","2026-06-08","Mahtab Bigverdi; Linjie Li; Weikai Huang; Yiming Liu; Jaemin Cho; Jieyu Zhang; Tuhin Kundu; Chris Dangjoo Kim; Zelun Luo; Linda Shapiro; Ranjay Krishna"
"S-Agent: Spatial Tool-Use Elicits Reasoning for Spatial Intelligence","https://arxiv.org/abs/2606.20515",224,0,159,65,"https://github.com/Ropedia/S-Agent","2026-06-18","Yalun Dai; Hao Li; Shulin Tian; Runmao Yao; Yuhao Dong; Fangzhou Hong; Zhaoxi Chen; Fangfu Liu; Baoliang Tian; Dingwen Zhang; Tao Wang; Kim-Hui Yap; Ziwei Liu"
"Are We Ready For An Agent-Native Memory System?","https://arxiv.org/abs/2606.24775",221,106,57,58,"https://github.com/OpenDataBox/MemoryData","2026-06-25","Wei Zhou; Xuanhe Zhou; Shaokun Han; Hongming Xu; Guoliang Li; Zhiyu Li; Feiyu Xiong; Fan Wu"
"GameCraft-Bench: Can Agents Build Playable Games End-to-End in a Real Game Engine?","https://arxiv.org/abs/2606.17861",219,58,0,161,"https://github.com/tongxuluo/gamecraft-bench","2026-06-17","Tongxu Luo; Rongsheng Wang; Jiaxi Bi; Chenming Xu; Zhengyang Tang; Jianlong Chen; Juhao Liang; Ke Ji; Shuqi Guo; Yuhao Du; Fan Bu; Wenyu Du; Xiaotong Zhang; Kyle Li; Shaobo Wang; et al. (25 authors)"
"Hy-Embodied-0.5-VLA: From Vision-Language-Action Models to a Real-World Robot Learning Stack","https://arxiv.org/abs/2606.14409",219,0,54,165,"https://github.com/Tencent-Hunyuan/Hy-Embodied-0.5-VLA","2026-06-12","He Zhang; Lingzhu Xiang; Haitao Lin; Zeyu Huang; Minghui Wang; Dingyan Zhong; Yubo Dong; Yihao Wu; Yongming Rao; Dongsheng Zhang; Wanjia He; Ling Chen; Kai Huang; Jiahao Chen; Sichang Su; et al. (26 authors)"
"Self-Harness: Harnesses That Improve Themselves","https://arxiv.org/abs/2606.09498",218,0,218,0,"","2026-06-08","Hangfan Zhang; Shao Zhang; Kangcong Li; Chen Zhang; Yang Chen; Yiqun Zhang; Lei Bai; Shuyue Hu"
"On the Geometry of On-Policy Distillation","https://arxiv.org/abs/2606.07082",216,75,141,0,"","2026-06-09","Zhennan Shen; Yanshu Li; Qingyu Yin; Chak Tou Leong; Zhilin Wang; Yanxu Chen; Rongduo Han; Sunbowen Lee; Yi R. Fung"
"Agent-as-a-Router: Agentic Model Routing for Coding Tasks","https://arxiv.org/abs/2606.22902",208,0,60,148,"https://github.com/LanceZPF/agent-as-a-router","2026-06-26","Pengfei Zhou; Zhiwei Tang; Yixing Ma; Jiasheng Tang; Yizeng Han; Zhenglin Wan; Fanqing Meng; Wei Wang; Bohan Zhuang; Wangbo Zhao; Yang You"
"LoopCoder-v2: Only Loop Once for Efficient Test-Time Computation Scaling","https://arxiv.org/abs/2606.18023",207,207,0,0,"","2026-06-17","Jian Yang; Shawn Guo; Wei Zhang; Tianyu Zheng; Yaxin Du; Haau-Sing Li; Jiajun Wu; Yue Song; Yan Xing; Qingsong Cai; Zelong Huang; Chuan Hao; Ran Tao; Xianglong Liu; Wayne Xin Zhao; et al. (19 authors)"
"Embodied-R1.5: Evolving Physical Intelligence via Embodied Foundation Models","https://arxiv.org/abs/2606.11324",204,170,0,34,"https://github.com/pickxiguapi/Embodied-R1.5","2026-06-11","Yifu Yuan; Yaoting Huang; Xianze Yao; Yutong Li; Shuoheng Zhang; Linqi Han; Pengyi Li; Jiangeng Sun; Wenting Jia; Zhao Zhang; Yuhao Liu; Ruihao Liao; Yucheng Hu; Qiyu Wu; Yuxiao Li; et al. (23 authors)"
"World-Language-Action Model for Unified World Modeling, Language Reasoning, and Action Synthesis","https://arxiv.org/abs/2606.05979",204,0,106,98,"https://github.com/SJTU-DENG-Lab/WLA","2026-06-04","Yi Yang; Zhihong Liu; Siqi Kou; Yiyang Chen; Yanzhe Hu; Jianbo Zhou; Boyuan Zhao; Zhijie Wei; Xiao Xia; Xueqi Li; Pengfei Liu; Zhijie Deng"
"DomainShuttle: Freeform Open Domain Subject-driven Text-to-video Generation","https://arxiv.org/abs/2606.26058",203,65,0,138,"https://github.com/HKUST-C4G/DomainShuttle","2026-06-25","Nan Chen; Yiyang Cai; Rongchang Xie; Junwen Pan; Cheng Chen; Weinan Jia; Zhuowei Chen; Wen Zhou; Zhenbang Sun; Wenhan Luo"
"Latent Reasoning with Normalizing Flows","https://arxiv.org/abs/2606.06447",194,0,194,0,"","2026-06-04","Guancheng Tu; Xiangjun Fu; Suhao Yu; Yao Tang; Haoqiang Kang; Lianhui Qin; Yizhe Zhang; Jiatao Gu"
"Variable-Width Transformers","https://arxiv.org/abs/2606.18246",189,0,159,30,"https://github.com/ZhaofengWu/variable-width-transformers","2026-06-16","Zhaofeng Wu; Oliver Sieberling; Shawn Tan; Rameswar Panda; Yury Polyanskiy; Yoon Kim"
"OmniDirector: General Multi-Shot Camera Cloning without Cross-Paired Data","https://arxiv.org/abs/2606.13432",183,112,0,71,"https://github.com/lisj575/OmniDirector","2026-06-15","Jiwen Liu; Shujuan Li; Zhixue Fang; Xiaohan Li; Yan Zhou; Zijie Meng; Zhimin Zhang; Yawen Luo; Guoxin Zhang; Yu-Shen Liu; Pengfei Wan"
"ImageWAM: Do World Action Models Really Need Video Generation, or Just Image Editing?","https://arxiv.org/abs/2606.19531",175,0,90,85,"https://github.com/yuyangalin/ImageWAM","2026-06-17","Yuyang Zhang; Wenyao Zhang; Zekun Qi; He Zhang; Haitao Lin; Jingbo Zhang; Yao Mu; Xiaokang Yang; Wenjun Zeng; Xin Jin"
"Test-Time Gradient Guidance of Flow Policies in Reinforcement Learning","https://arxiv.org/abs/2606.11087",168,0,88,80,"https://github.com/zhouzypaul/qgf","2026-06-09","Zhiyuan Zhou; Andy Peng; Charles Xu; Qiyang Li; Tobias Springenberg; Kevin Frans; Sergey Levine"
"MAI-Thinking-1: Building a Hill-Climbing Machine","https://www.alphaxiv.org/abs/mai-thinking-1",162,0,162,0,"","2026-06-04","The Microsoft AI Team"
"GrepSeek: Training Search Agents for Direct Corpus Interaction","https://arxiv.org/abs/2605.29307",161,115,0,46,"https://github.com/alirezasalemi7/grepseek","2026-06-01","Alireza Salemi; Chang Zeng; Atharva Nijasure; Jui-Hui Chung; Razieh Rahimi; Fernando Diaz; Hamed Zamani"
"Role-Agent: Bootstrapping LLM Agents via Dual-Role Evolution","https://arxiv.org/abs/2606.10917",158,76,0,82,"https://github.com/AMAP-ML/roleagent","2026-06-10","Xucong Wang; Ziyu Ma; Shidong Yang; Tongwen Huang; Pengkun Wang; Yong Wang; Xiangxiang Chu"
"Paving the way for agents in biology","https://www.alphaxiv.org/abs/2026.agents-in-biology",156,0,156,0,"","2026-06-08",""
"Learning from the Self-future: On-policy Self-distillation for dLLMs","https://arxiv.org/abs/2606.18195",153,76,67,10,"https://github.com/xingzhejun/d-opsd-code","2026-06-17","Yifu Luo; Zeyu Chen; Haoyu Wang; Xinhao Hu; Yuxuan Zhang; Zhizhou Sha; Shiwei Liu"
"Qwen-RobotWorld Technical Report: Unifying Embodied World Modeling through Language-Conditioned Video Generation","https://arxiv.org/abs/2606.17030",151,0,151,0,"","2026-06-17","Jie Zhang; Xiaoyue Chen; Anzhe Chen; Dayiheng Liu; Deqing Li; Gengze Zhou; Hale Yin; Haoqi Yuan; Haoyang Li; Jiahao Li; Jiazhao Zhang; Jingren Zhou; Kaiyuan Gao; Kun Yan; Lihan Jiang; et al. (39 authors)"
"WeaveBench: A Long-Horizon, Real-World Benchmark for Computer-Use Agents with Hybrid Interfaces","https://arxiv.org/abs/2606.09426",150,104,0,46,"https://github.com/weavebench/WeaveBench","2026-06-12","Wanli Li; Bowen Zhou; Yunyao Yu; Zhou Xu; Yifan Yang; Dongsheng Li; Caihua Shan"
"Wan-Streamer v0.1: End-to-end Real-time Interactive Foundation Models","https://arxiv.org/abs/2606.25041",150,98,52,0,"","2026-06-25","Lianghua Huang; Zhi-Fan Wu; Wei Wang; Yupeng Shi; Mengyang Feng; Junjie He; Chen-Wei Xie; Yu Liu; Jingren Zhou; Ang Wang; Bang Zhang; Baole Ai; Chen Liang; Cheng Yu; Chongyang Zhong; et al. (24 authors)"
"DataClaw0: Agentic Tailoring Multimodal Data from Raw Streams","https://arxiv.org/abs/2606.21337",150,73,0,77,"https://github.com/vancyland/DataClaw0","2026-06-23","Cong Wan; Zeyu Guo; Zijian Cai; Jiangyang Li; SongLin Dong; Lin Peng; Xiangyang Luo; Zhiheng Ma; Yihong Gong"
"APPO: Agentic Procedural Policy Optimization","https://arxiv.org/abs/2606.12384",147,79,0,68,"https://github.com/AMAP-ML/APPO","2026-06-15","Xucong Wang; Ziyu Ma; Yong Wang; Yuxiang Ji; Shidong Yang; Guanhua Chen; Pengkun Wang; Xiangxiang Chu"
"Qwen-RobotManip Technical Report: Alignment Unlocks Scale for Robotic Manipulation Foundation Models","https://arxiv.org/abs/2606.17846",146,0,146,0,"","2026-06-17","Haoqi Yuan; Zhixuan Liang; Anzhe Chen; Ye Wang; Haoyang Li; Pei Lin; Yiyang Huang; Zixing Lei; Tong Zhang; Jiazhao Zhang; Jie Zhang; Jingyang Fan; Gengze Zhou; Qihang Peng; Chenxu Lv; et al. (23 authors)"
"SWE-Explore: Benchmarking How Coding Agents Explore Repositories","https://arxiv.org/abs/2606.07297",143,121,0,22,"https://github.com/Qiushao-E/SWE-Explore-Bench","2026-06-09","Shaoqiu Zhang; Yuhang Wang; Jialiang Liang; Yuling Shi; Wenhao Zeng; Maoquan Wang; Shilin He; Ningyuan Xu; Siyu Ye; Kai Cai; Xiaodong Gu"
